Start fixation (ms)	Stop fixation (ms)	X fixation (px)	Y fixation (px)	Number Gaze Point in Fixation	Observer
0.00	366.67	1756.00	483.00	12	11
433.33	766.67	2137.00	1631.00	11	11
800.00	1600.00	2178.00	1576.00	25	11
1633.33	1833.33	2161.00	1539.00	7	11
1866.67	2100.00	2205.00	1566.00	8	11
2166.67	2533.33	1864.00	1788.00	12	11
2566.67	3333.33	1986.00	1583.00	24	11
3400.00	3533.33	2308.00	1448.00	5	11
3733.33	3933.33	1599.00	125.00	7	11
3966.67	4166.67	1932.00	-86.00	7	11
4233.33	4633.33	2734.00	133.00	13	11
4733.33	4966.67	1319.00	458.00	8	11
5033.33	5600.00	1787.00	1410.00	18	11
5666.67	6233.33	1544.00	1933.00	18	11
6300.00	6400.00	2030.00	1626.00	4	11
6466.67	6600.00	2108.00	1046.00	5	11
6666.67	6900.00	1966.00	381.00	8	11
7100.00	7633.33	2487.00	1463.00	17	11
7666.67	7966.67	2192.00	1513.00	10	11
8033.33	8700.00	2065.00	1934.00	21	11
8766.67	8966.67	1889.00	1764.00	7	11
9000.00	9366.67	1618.00	1673.00	12	11
9466.67	9966.67	1163.00	1457.00	16	11
10000.00	10200.00	1158.00	1140.00	7	11
10266.67	10500.00	1199.00	480.00	8	11
10566.67	11133.33	1288.00	157.00	18	11
11200.00	11300.00	1183.00	539.00	4	11
11366.67	11500.00	837.00	975.00	5	11
11533.33	11666.67	751.00	1018.00	5	11
433.33	533.33	1964.00	1239.00	4	12
566.67	1300.00	2198.00	1261.00	23	12
1333.33	1533.33	1976.00	1448.00	7	12
1600.00	2033.33	2213.00	1280.00	14	12
2133.33	2400.00	1849.00	1489.00	9	12
2433.33	2866.67	2003.00	1367.00	14	12
2966.67	3166.67	3443.00	832.00	7	12
3233.33	3333.33	3552.00	632.00	4	12
3433.33	4466.67	1862.00	1389.00	32	12
4533.33	4766.67	1619.00	1597.00	8	12
4800.00	5066.67	1784.00	1378.00	9	12
5100.00	5300.00	1926.00	1090.00	7	12
5500.00	5666.67	1835.00	607.00	6	12
5766.67	5933.33	2437.00	470.00	6	12
6000.00	6400.00	2062.00	658.00	13	12
6633.33	7266.67	2090.00	599.00	20	12
7300.00	7700.00	2121.00	837.00	13	12
7766.67	8066.67	1848.00	1304.00	10	12
8100.00	8333.33	1983.00	1495.00	8	12
8366.67	8700.00	1797.00	1519.00	10	12
8733.33	9400.00	1518.00	1307.00	21	12
9433.33	9566.67	1036.00	1227.00	5	12
9600.00	10133.33	1117.00	1303.00	17	12
10233.33	10333.33	1366.00	1121.00	4	12
10400.00	10566.67	1818.00	574.00	6	12
10633.33	10866.67	1254.00	537.00	8	12
10933.33	11100.00	1279.00	378.00	6	12
11166.67	11533.33	1050.00	724.00	11	12
-66.67	133.33	1546.00	1355.00	7	13
200.00	400.00	1819.00	1178.00	7	13
466.67	933.33	2108.00	1514.00	15	13
1033.33	1300.00	1554.00	1791.00	9	13
1333.33	1566.67	1805.00	1741.00	8	13
1633.33	1966.67	1379.00	2049.00	11	13
